rank,file_name,page_count,has_tables,keyword_score,semantic_score,cosine_sim,skills_score,experience_score,resume_years,formatting_score,ats_score,grade,matched_keywords,matched_skills,missing_skills,word_count
61,21283365.pdf,2,False,7.0,10.87,0.3623,0.0,15.0,21.0,5,37.87,Needs Work,14,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",883
62,12635195.pdf,1,False,5.5,10.37,0.3455,2.0,15.0,27.0,5,37.87,Needs Work,11,2,"['pcb', 'rf', 'sql', 'awr', 'ansoft', 'matlab', 'labview', 'spice']",380
63,36856210.pdf,2,False,8.0,9.76,0.3253,0.0,15.0,15.0,5,37.76,Needs Work,16,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",617
64,27058381.pdf,2,False,9.5,8.23,0.2745,0.0,15.0,21.0,5,37.73,Needs Work,19,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",1716
65,16899268.pdf,1,False,6.0,10.67,0.3555,1.0,15.0,20.0,5,37.67,Needs Work,12,1,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'matlab', 'labview', 'spice']",569
66,33381211.pdf,3,False,8.0,8.63,0.2876,1.0,15.0,20.0,5,37.63,Needs Work,16,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",1501
67,38753827.pdf,3,False,9.5,7.97,0.2657,0.0,15.0,17.0,5,37.47,Needs Work,19,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",1281
68,24020470.pdf,2,False,7.0,10.31,0.3437,0.0,15.0,14.0,5,37.31,Needs Work,14,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",1120
69,25207620.pdf,2,False,9.0,11.19,0.3728,0.0,12.0,4.0,5,37.19,Needs Work,18,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",860
70,31111279.pdf,2,False,7.0,9.1,0.3032,1.0,15.0,18.0,5,37.1,Needs Work,14,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",1140
71,15297298.pdf,2,False,6.5,10.04,0.3348,0.0,15.0,12.0,5,36.54,Needs Work,13,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",722
72,24889109.pdf,1,False,9.5,12.89,0.4296,0.0,9.0,3.0,5,36.39,Needs Work,19,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",628
73,15802627.pdf,2,False,8.0,8.38,0.2794,0.0,15.0,17.0,5,36.38,Needs Work,16,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",1081
74,13836471.pdf,2,False,6.5,8.51,0.2838,1.0,15.0,19.0,5,36.01,Needs Work,13,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",653
75,13477922.pdf,2,False,5.5,10.51,0.3504,0.0,15.0,11.0,5,36.01,Needs Work,11,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",721
76,66832845.pdf,2,False,4.5,11.09,0.3696,0.0,15.0,18.0,5,35.59,Needs Work,9,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",708
77,15118506.pdf,2,False,6.5,8.62,0.2872,0.0,15.0,14.0,5,35.12,Needs Work,13,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",723
78,35325329.pdf,2,False,7.5,6.58,0.2193,0.0,15.0,15.0,5,34.08,Needs Work,15,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",871
79,39718499.pdf,1,False,5.5,7.78,0.2595,0.0,15.0,28.0,5,33.28,Needs Work,11,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",319
